#,"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","New
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
,World,"640,074,717","190,574","6,614,850",384,"619,578,181","220,171","13,881,686","35,805","82,116",848.6,,,
1,USA,"99,890,506",,"1,100,121",,"97,397,206",,"1,393,179","2,648","298,354","3,286","1,134,187,878","3,387,605","334,805,269"
2,India,"44,665,643",,"530,528",,"44,122,562",,"12,553",698,"31,754",377,"902,386,407","641,523","1,406,631,776"
3,France,"37,094,441",,"157,704",,"36,410,647",,"526,09",869,"565,598","2,405","271,490,188","4,139,547","65,584,518"
4,Germany,"36,033,394",,"155,588",,"34,914,900","21,6","962,906","1,406","429,564","1,855","122,332,384","1,458,359","83,883,596"
5,Brazil,"34,949,418",,"688,705",,"34,115,188",,"145,525","8,318","162,289","3,198","63,776,166","296,146","215,353,593"
6,S. Korea,"26,145,764","54,225","29,617",46,"25,325,779","43,674","790,368",371,"509,367",577,"15,804,065","307,892","51,329,899"
7,UK,"23,954,192",,"195,53",,"23,634,170","6,427","124,492",146,"349,707","2,855","522,526,476","7,628,357","68,497,907"
8,Italy,"23,823,192",,"179,985",,"23,224,653",,"418,554",203,"395,322","2,987","254,586,854","4,224,613","60,262,770"
9,Japan,"23,109,816","79,486","47,512",95,"20,555,300","10,547","2,507,004",224,"184,018",378,"79,118,302","629,999","125,584,838"
10,Russia,"21,494,588","5,514","390,964",62,"20,896,445","5,717","207,179","2,3","147,419","2,681","273,400,000","1,875,095","145,805,947"
11,Turkey,"16,976,729",,"101,327",,"16,867,227","48,792","8,175",,"198,414","1,184","162,743,369","1,902,052","85,561,976"
12,Spain,"13,551,539",,"115,357",,"13,335,434",,"100,748",339,"290,064","2,469","471,036,328","10,082,298","46,719,142"
13,Vietnam,"11,508,447",277,"43,166",,"10,605,867",198,"859,414",68,"116,302",436,"85,826,548","867,342","98,953,541"
14,Australia,"10,479,214","2,993","15,87",11,"10,364,130",,"99,214",60,"401,983",609,"78,835,048","3,024,116","26,068,792"
15,Argentina,"9,720,232",,"130,003",,"9,585,461",,"4,768",246,"211,262","2,826","35,716,069","776,264","46,010,234"
16,Netherlands,"8,528,515",,"22,87",,"8,445,820",,"59,825",46,"495,514","1,329","25,984,435","1,509,718","17,211,447"
17,Taiwan,"8,015,698","19,224","13,501",60,"7,436,680","35,266","565,517",,"335,545",565,"28,108,451","1,176,647","23,888,595"
18,Iran,"7,558,812",,"144,609",,"7,333,743",,"80,46",82,"87,87","1,681","54,420,785","632,632","86,022,837"
19,Mexico,"7,116,424",,"330,43",,"6,388,288",,"397,706","4,798","54,091","2,512","18,657,400","141,814","131,562,772"
20,Indonesia,"6,556,627","6,179","159,068",33,"6,348,259","4,739","49,3","2,771","23,489",570,"111,225,464","398,465","279,134,505"
21,Poland,"6,346,228",73,"118,21",,"5,335,940",,"892,078","1,53","168,158","3,132","37,703,501","999,039","37,739,785"
22,Colombia,"6,311,359",,"141,862",,"6,138,831",,"30,666",342,"122,52","2,754","36,791,759","714,226","51,512,762"
23,Portugal,"5,528,365",,"25,319",,"5,481,752","1,104","21,294",61,"545,173","2,497","45,059,939","4,443,531","10,140,570"
24,Austria,"5,484,553",,"21,082",,"5,420,853",,"42,618",47,"604,911","2,325","201,543,033","22,228,905","9,066,710"
25,Ukraine,"5,312,632",,"110,186",,"5,176,405","2,415","26,041",,123,"2,551","32,603,805","754,855","43,192,122"
26,Greece,"5,250,288",,"33,888",,"5,155,002","7,67","61,398",115,"508,915","3,285","98,273,331","9,525,714","10,316,637"
27,Malaysia,"4,943,701",,"36,526",,"4,874,177",,"32,998",87,"148,992","1,101","65,826,367","1,983,853","33,181,072"
28,Chile,"4,832,838","6,604","61,983",30,"4,750,223","5,533","20,632",140,"251,054","3,22","46,545,203","2,417,908","19,250,195"
29,DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,636",3,,,"25,990,679"
30,Thailand,"4,695,207",,"32,995",,"4,649,509",,"12,703","1,496",67,471,"17,270,775","246,45","70,078,203"
31,Israel,"4,694,845",,"11,788",,"4,673,641",,"9,416",24,"503,415","1,264","41,373,364","4,436,346","9,326,000"
32,Belgium,"4,622,723",,"32,976",,"4,549,905",,"39,842",50,"396,179","2,826","36,005,731","3,085,779","11,668,278"
33,Canada,"4,357,478",,"46,71",,"4,246,563","3,2","64,205",99,"113,51","1,217","65,873,060","1,715,962","38,388,419"
34,Switzerland,"4,256,095",,"14,275",,"4,139,776","6,513","102,044",69,"485,1","1,627","22,792,281","2,597,814","8,773,637"
35,Peru,"4,169,751",,"217,172",,"3,938,932",775,"13,647",34,"123,789","6,447","35,974,387","1,067,990","33,684,208"
36,Czechia,"4,165,131",524,"41,71",1,"4,119,338",993,"4,083",20,"387,931","3,885","56,537,165","5,265,745","10,736,784"
37,South Africa,"4,032,718",,"102,371",,"3,912,506",,"17,841",192,"66,375","1,685","26,473,049","435,726","60,756,135"
38,Philippines,"4,015,266",,"64,355",,"3,933,723",,"17,188",125,"35,688",572,"33,323,944","296,189","112,508,994"
39,Romania,"3,291,348",,"67,231",,"3,218,163",,"5,954",103,"172,944","3,533","25,589,339","1,344,590","19,031,335"
40,Denmark,"3,141,109",,"7,434",,"3,128,313",,"5,362",1,"538,327","1,274","128,708,583","22,058,215","5,834,950"
41,Sweden,"2,618,688",,"20,825",,"2,584,046",604,"13,817",18,"256,258","2,038","19,091,622","1,868,253","10,218,971"
42,Iraq,"2,461,857",,"25,361",,"2,435,999",,497,21,"58,386",601,"19,377,732","459,57","42,164,965"
43,Serbia,"2,412,750",452,"17,308",5,"2,381,597","1,213","13,845",27,"278,833",2,"11,475,323","1,326,165","8,653,016"
44,Hungary,"2,153,564",,"48,111",,"2,082,525",,"22,928",18,"224,183","5,008","11,394,556","1,186,160","9,606,259"
45,Singapore,"2,136,658",,"1,693",,"2,056,534",,"78,431",12,"359,492",285,"24,622,510","4,142,731","5,943,546"
46,Bangladesh,"2,036,131",22,"29,426",,"1,983,578",154,"23,127","1,331","12,128",175,"15,037,180","89,568","167,885,689"
47,Hong Kong,"1,979,629","5,723","10,517",6,"1,781,513","4,359","187,599",8,"260,33","1,383","66,284,763","8,716,749","7,604,299"
48,New Zealand,"1,872,459",,"3,144",,"1,849,572",,"19,743",,"382,275",642,"7,544,063","1,540,170","4,898,203"
49,Slovakia,"1,854,291",123,"20,67",7,"1,831,779",212,"1,842",34,"339,602","3,786","7,342,981","1,344,821","5,460,193"
50,Georgia,"1,785,138",,"16,912",,"1,637,293",,"130,933",,"449,8","4,261","16,920,079","4,263,340","3,968,738"
51,Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869"
52,Ireland,"1,675,725",,"8,061",,"1,660,816",,"6,848",17,"333,797","1,606","12,807,763","2,551,246","5,020,199"
53,Pakistan,"1,574,597",48,"30,629",,"1,538,689",,"5,279",55,"6,861",133,"30,570,862","133,213","229,488,994"
54,Norway,"1,466,466",,"4,286",,"1,460,095",,"2,085",20,"266,08",778,"11,002,430","1,996,315","5,511,370"
55,Kazakhstan,"1,395,280",59,"13,693",,"1,380,356",,"1,231",24,"72,652",713,"11,575,012","602,707","19,205,043"
56,Finland,"1,372,651",,"6,913",,"1,328,136","3,297","37,602",21,"247,104","1,244","11,720,695","2,109,951","5,554,960"
57,Bulgaria,"1,283,364",,"37,952",,"1,237,360",,"8,052",58,"187,5","5,545","10,756,192","1,571,487","6,844,597"
58,Lithuania,"1,271,466",211,"9,41",2,"1,255,754",40,"6,302",7,"477,688","3,535","10,236,855","3,845,972","2,661,708"
59,Morocco,"1,266,458",,"16,283",,"1,249,509",,666,293,"33,528",431,"12,695,946","336,114","37,772,756"
60,Croatia,"1,249,943",244,"17,218",3,"1,230,757",360,"1,968",8,"307,922","4,242","5,329,808","1,312,991","4,059,286"
